"id","name_tm","name_ru","image","modified","updated_by_id"
"65","Kuwait","Кувейт","images/countries/image_CWDs2bU.jpeg","20/9/2023 04:26:19.-1f+00","1"
"66","Latvia","Латвия","images/countries/image_oZAFmwd.jpeg","20/9/2023 04:26:55.-1f+00","1"
"67","Lebanon","Ливан","images/countries/image_iOVZ4OQ.jpeg","20/9/2023 04:27:24.-1f+00","1"
"68","Libya","Ливия","images/countries/image_5J1WFhP.jpeg","20/9/2023 04:28:00.-1f+00","1"
"69","Lithuania","Литва","images/countries/image_4K2VnSv.jpeg","20/9/2023 04:28:30.-1f+00","1"
"70","Luxembourg","Люксембург","images/countries/image_QFZkfMn.jpeg","20/9/2023 04:28:59.-1f+00","1"
"71","Malaysia","Малайзия","images/countries/image_ean9Y2q.jpeg","20/9/2023 04:29:29.-1f+00","1"
"72","Maldives","Мальдивы","images/countries/image_pmd6RD6.jpeg","20/9/2023 04:30:14.-1f+00","1"
"73","Malta","Мальта","images/countries/image_GsAnydx.jpg","19/8/2023 10:35:58.-1f+00","1"
"19","Afghanistan","Афганистан","images/countries/Афганистана.png","3/1/2024 04:28:46.-1f+00","1"
"88","Romania","Румыния","images/countries/image_RVrMPIW.jpeg","20/9/2023 04:41:26.-1f+00","1"
"89","Senegal","Сенегал","images/countries/image_p32zZOJ.jpeg","20/9/2023 04:41:59.-1f+00","1"
"103","Sweden","Швеция","images/countries/image_FD5Z0pu.jpeg","20/9/2023 04:49:54.-1f+00","1"
"90","Serbia","Сербия","images/countries/image_kufW5va.jpeg","20/9/2023 04:42:31.-1f+00","1"
"91","Singapore","Сингапур","images/countries/image_v9U3N83.jpeg","20/9/2023 04:43:10.-1f+00","1"
"104","Estonia","Эстония","images/countries/image_u2nwbYS.jpeg","20/9/2023 04:50:20.-1f+00","1"
"92","Syria","Сирия","images/countries/image_eebcj5L.jpeg","20/9/2023 04:43:36.-1f+00","1"
"84","Panama","Панама","images/countries/image_1PREx5S.jpg","19/8/2023 11:28:23.-1f+00","1"
"93","Slovakia","Словакия","images/countries/image_MeNa5zX.jpeg","20/9/2023 04:44:09.-1f+00","1"
"105","Japan","Япония","images/countries/image_5PPtoxT.jpeg","20/9/2023 04:51:00.-1f+00","1"
"94","Slovenia","Словения","images/countries/image_pLgsMFJ.jpeg","20/9/2023 04:44:33.-1f+00","1"
"106","Abkhazia","Абхазия","images/countries/image_nuEvVbi.jpeg","20/9/2023 04:51:30.-1f+00","1"
"107","Yugoslavia","Югославия","images/countries/image_leIRNtf.jpeg","20/9/2023 04:52:02.-1f+00","1"
"108","Jamaica","Ямайка","images/countries/image_iZiyA7v.jpg","21/9/2023 05:56:09.-1f+00","1"
"109","Nigeria","Нигерия","images/countries/image_OIWSOar.jpg","14/11/2023 05:25:11.-1f+00","1"
"87","Russia","Россия","images/countries/image.jpeg","19/9/2023 14:16:19.-1f+00","1"
"96","Tajikistan","Таджикистан","images/countries/image_szYMWVC.jpeg","20/9/2023 04:45:16.-1f+00","1"
"74","Morocco","Марокко","images/countries/image_sfI2Twp.jpeg","20/9/2023 04:31:06.-1f+00","1"
"75","Mexico","Мексика","images/countries/image_q9QHw7I.jpeg","20/9/2023 04:32:07.-1f+00","1"
"76","Mozambique","Мозамбик","images/countries/image_Xo6ZI3o.jpeg","20/9/2023 04:32:48.-1f+00","1"
"77","Moldova","Молдавия","images/countries/image_QobswAB.jpeg","20/9/2023 04:33:21.-1f+00","1"
"97","Thailand","Таиланд","images/countries/image_SIKWcxF.jpeg","20/9/2023 04:46:49.-1f+00","1"
"79","Mongolia","Монголия","images/countries/image_MwquIbt.jpeg","20/9/2023 04:33:55.-1f+00","1"
"78","Monaco","Монако","images/countries/image_Wzyqs9R.jpeg","20/9/2023 04:34:35.-1f+00","1"
"98","Turkmenistan","Туркменистан","images/countries/image_05zKq6g.jpeg","20/9/2023 04:47:14.-1f+00","1"
"80","Netherlands","Нидерланды","images/countries/image_h8oAcSS.jpeg","20/9/2023 04:35:50.-1f+00","1"
"81","Norway","Норвегия","images/countries/image_dmkcGaB.jpeg","20/9/2023 04:36:29.-1f+00","1"
"99","Türkiye","Турция","images/countries/image_zdsOjX6.jpeg","20/9/2023 04:48:05.-1f+00","1"
"82","UAE","ОАЭ","images/countries/image_oxrhDBH.jpeg","20/9/2023 04:39:12.-1f+00","1"
"83","Pakistan","Пакистан","images/countries/image_t333Hmr.jpeg","20/9/2023 04:39:49.-1f+00","1"
"100","Uzbekistan","Узбекистан","images/countries/image_2KsJyIJ.jpeg","20/9/2023 04:48:31.-1f+00","1"
"85","Poland","Польша","images/countries/image_AlHxYgy.jpeg","20/9/2023 04:40:33.-1f+00","1"
"86","Portugal","Португалия","images/countries/image_L0SXaZl.jpeg","20/9/2023 04:41:02.-1f+00","1"
"101","France","Франция","images/countries/image_R2m5cAH.jpeg","20/9/2023 04:49:01.-1f+00","1"
"102","Switzerland","Швейцария","images/countries/image_v58O9CS.jpeg","20/9/2023 04:49:27.-1f+00","1"
