"id","name","image","modified","year","trend","updated_by_id"
"58","Домашний (полная версия)","images/albums/image_5dixz5N.jpg","3/9/2023 07:26:55.-1f+00","2017","f","1"
"59","Снимем маски, господа","images/albums/image_9eVI6iU.jpg","3/9/2023 09:07:41.-1f+00","2015","f","1"
"60","Дневники Александра Бердникова","images/albums/image_FCwOzvs.jpg","4/9/2023 10:36:46.-1f+00","2005","f","1"
"61","Соль","images/albums/image_BPPocUl.jpg","4/9/2023 11:42:01.-1f+00","2016","f","1"
"62","Короли","images/albums/image_3hNqO0K.jpg","4/9/2023 12:09:45.-1f+00","2013","f","1"
"63","Легендарные Песни","images/albums/image_Wg4pelq.jpg","4/9/2023 12:44:13.-1f+00","2004","f","1"
"64","Неприлично о личном","images/albums/image_02gKzDQ.jpg","4/9/2023 14:15:15.-1f+00","2019","f","1"
"65","Легенды русского рока","images/albums/image_Ob0rBzL.jpg","5/9/2023 06:53:03.-1f+00","2022","f","1"
"66","Альбомба","images/albums/image_uffsxrF.jpg","5/9/2023 07:19:39.-1f+00","2021","f","1"
"67","Саундтрек К Так И Не Снятому Фильму","images/albums/image_4aklnvv.jpg","5/9/2023 07:48:00.-1f+00","2017","f","1"
"68","Для Тебя И О Тебе","images/albums/image_tMayPNX.jpg","5/9/2023 08:21:32.-1f+00","2013","f","1"
"69","Ты сердце и душа","images/albums/image_4BQdS7J.jpg","6/9/2023 05:28:59.-1f+00","2020","f","1"
"70","О Нём","images/albums/image_JrPwm0z.jpg","6/9/2023 06:04:33.-1f+00","2005","f","1"
"71","Ангелы и демоны","images/albums/image_RfN2But.jpg","6/9/2023 06:34:14.-1f+00","2016","f","1"
"72","Romanza","images/albums/image_irlFUsQ.jpg","6/9/2023 08:48:54.-1f+00","2017","f","1"
"73","Платиновая коллекция","images/albums/image_LAaCDyF.jpg","6/9/2023 11:40:51.-1f+00","2005","f","1"
"74","Лучшее в нашей жизни (Deluxe)","images/albums/image_Mtk8kv3.jpg","6/9/2023 12:10:59.-1f+00","2015","f","1"
"75","Триумф гитары","images/albums/image_h1Kr24o.jpg","7/9/2023 06:10:24.-1f+00","2015","f","1"
